Continent,Country,State,City,Name,CenterNumber,long,lat,Address,Zone,ContactPersonName,Mobile_1,Mobile_2,Landline,Email,Email_2
Asia,India,Telangana,Secunderabad,Secunderabad SKY Trust,A.NO.443,78.4352242,17.4255825,"Plot No.14, Road No.2, 8-6-52/42, Venkataramana Colony, Vanesthilipuram Hyderabad 500 070.",Telangana,A/N.S.Sivanageswara Rao,9441232930,9440524386,-,sekhinamsivanageswararao@gmail.com,
Asia,India,Andhra Pradesh,Guntur,Guntur Acharya Nagarjuna SKY Trust,A.NO.444,79.74017432,15.9128998,"D.No.5-94-31, 6/13A Brodiepet, Guntur 522 002.",Andhra Pradesh,"A/N.Dr.A.Koteswwaramma, W/o.A.Chennakesava Reddy",9866873477,-,0863 - 2233517,sekhinamsivanageswararao@gmail.com,akoteswari@yahoo.com
Asia,India,Kerala,Thiruvananthapuram,Thiruvananthapuram SKY Trust,A.NO.448,76.9423828,8.4890682,"Krishnarilasam, T.C.28/1452, Greekantheswaram, Thiruvananthapuram 695 023",Kerala,"A/N.A.V.Geethakumari,",9400288501,0-7907199248,-,skytrust18@gmail.com,padmagireesh.05@gmail.com
Asia,India,Andhra Pradesh,Rajahmundry,Rajahmundry SKY Trust,A.NO.449,79.74008091,15.9128998,"D.No.07-23-01, Aswini Hospityals, Opp. to Hindu Samajam, Rajahmundry - 533 101. East Godavari Dist.,",Andhra Pradesh,A/N. Dr. B. Santha Devi,8832462502,9052165394,,santthhabandi@gmail.com,mapsraj@gmail.com
Asia,India,Kerala,Iritty,Iritty-Kannur SKY Trust,A.NO.452,75.3703662,11.8744775,"Kunnoth, Kiliyanthara Post, Kannur District, Kerala 670 706.",Kerala,"A/N.P.P.Johnson alias Kalavoor Johnson,",9447853499,-,0490-24230537,skytrustiritty@rediffmail.com,ffsj_kalavoor@rediffmail.com
Asia,India,Kerala,Kayamkulam,"Kayamkulam SKY Trust,",A.NO.456,76.515156,9.1843659,"C/o.P.E.Hariharan, Secretary, ""HARISHREE"", Puthiyidom, Kayamkulam, Kerala 690 502.",Kerala,A/N.V.S.Gopalakrishnan,"8281857001, 0-9400642535","9446635501, 8281857001",0479-2448842,kayamkulamskytrust@gmail.com,baabukv@gmail.com
Asia,India,Kerala,Kottayam,Pallickathodu SKY Trust,A.NO.460,76.5221531,9.5915668,"WARD.8,HOUSE NO.3, AFFILIATION No. 460 PERUMKOOVATHIL, ANICAD-PO, PALLICKATHODE PANCHAYATH, KOTTAYAM-686503",Kerala,A/N.P.S.Ramachandran Nair,9447729521,0-9446548999,-,ramachandrankskyyoga@gmail.com,baabukv@gmail.com
Asia,India,Kerala,Cherthala,Cherthala SKY Trust,A.NO.463,76.28096623,9.988553117,"Door No.28/947, Pulluruthikarayil (H), Providance Junction, Cherthala (Post), Kerala 688 524.",Kerala,A/N.P.J.Abraham,9495421422,-,-,cherthalaskytrust@gmail.com,abrahampullooruthikariyil@gmail.com
Asia,India,Kerala,Kannur,Kannur SKY Trust,A.NO.465,75.45525796,11.81369041,"Manikkoth, Kadambur Post, Kannur, Kerala - 670 663.",Kerala,A/N.M.S.Anand,9446170220,9446445021,-,mskadamboor@gmail.com,
Asia,India,Puducherry,Puducherry,Pondicherry Thirubuvanai MVKM Trust,A.NO.467,79.6507597,11.9236663,"No.6, V.T.C. Street, Jaibeem Nagar, Thirubuvanai, Pondicherry-605107",Puducherry,A/N.M. Gnanasekaran,9843241440,9786534820,-,pondicherry.thirubuvanai@gmail.com,
Asia,India,Puducherry,Puducherry,Pondicherry Bahoor MVKM Trust,A.NO.468,79.7441651,11.8044555,"A/N. A.Irudhayamary, No. 103, South Street, Bahoor, Pondicherry- 607 402",Puducherry,A/N. A.Irudhayamary,9787720403,9363366123,0413 - 2633403,pahssbahour@gmail.com,
Asia,India,Puducherry,Puducherry,Pondicherry Embalam MVKM Trust,A.NO.469,79.71329911,11.87118957,"No. 57, Villiyanur Main Road, Embalam, Pondicherry - 605 106 ",Puducherry,N. Balamurugan,9751681737,9843899167,-,pondicherry.embalam@gmail.com,
Asia,India,Puducherry,Puducherry,Pondicherry Villiyanur MVKM Trust,A.NO.470,79.8115741,11.9174015,"Plot No: 5, Bharathi Street, Thillai Nagar, Villiyanur, Puducherry-605 110     ",Puducherry,A/N. R. Tirounavoucarassou ,9894217551,9787559004,-,pondicherry.villianur@gmail.com,
Asia,India,Karnataka,Bengaluru,Bangalore Chandapura SKY Trust,A.NO.475,77.6335088,13.0173525,"No.475, Ramaiah Layout, Opp. MTB Bricks, Chandapura, Attibele Hobli, Anekal (TK), Bangalore -560 099.",Karnataka,A/N.M.Shanthamma,9740463415,-,-,chandapuraskytrust@gmail.com,
Asia,India,Kerala,Palakkad,Palakkad SKY Trust,A.NO.478,76.662929,10.7865687,"""SREEPADAM"", Durga Junction, Puthur, Palakkad 678 001. Kerala",Kerala,A/N.R.Swaminathan,9846626278,9947150252,-,palakkadskytrust@gmail.com,swamisudha@yahoo.co.in
Asia,India,Kerala,Eruva,Eruva SKY Trust,A.NO.479,76.4967458,9.1939662,"C/o.A/N.G.Gopinathan, Secretary, ""Aswathy"", Eruva East, Eruva-Post, Kayamkulam 690 572, Alappuzha Dist, Kerala State",Kerala,A/N.D.Parameswaran Nair,9447193013,8281090852,9400731131,eruvaskytrust@gmail.com,gopinathansky@gmail.com
Asia,India,Karnataka,Bengaluru,Bangalore Peenya SKY Trust,A.NO.480,77.4885727,13.0002867,"No.64, Maruthi Nagar, Andrahalli Main Road, Bangalore - 560 091",Karnataka,A/N.K.B.Bhagyamma,9845603550,8904302770,-,-,
Asia,India,Andhra Pradesh,Vijayawada,Amaravathi Sulabhathbara Kundalini Yoga SKY Trust,A.NO.484,80.6039717,16.52534262,"F.F.9, Pavan Swarana Sai Towers, Beside: Cithara Hall, Vidyadharapuaram, Vijayawada - 12",Andhra Pradesh,A/N.M.Kameswara Rao,8074760499,9849955658,9848744567,marripudikamesh199@gmail.com,
Asia,India,Kerala,Thrissur,Thrissur SKY Trust,A.NO.490,76.25217592,10.66541233,"""SOUPARNIKA"", Pangattukulangara Post, Wadakanchery, Thrissur, Kerala 680 623",Kerala,A/N.V.R.Ramesh,9496353468,-,04884-267892,thrissurskytrust@gmail.com,ramshvr37@gmail.com
Asia,India,Kerala,Ambalapuzha,Ambalapuzha SKY Trust,A.NO.495,76.36057933,9.38642826,"""SREYAS"", Palkudy Lane, Ambalapuzha, Alappuzha (Dist), Kerala 688 561.",Kerala,"A/N.B.Rajeev, A/N.A.Sreekantan Nair",9447505552,9495087033,-,sreekantannair160@gmail.com,
Asia,India,Karnataka,Bengaluru,Bengaluru Sivanandanagar SKY Trust,A.NO.497,77.5263897,12.9701318,"32, 5th Cross, Sivanandanagar, (Karnataka High School Road), Nagara Bhavi Main Road, Moodalpalya, Bangaluru 560 072.",Karnataka,A/N.D.Gowri,9742846256,9036138509,-,-,
Asia,India,Andhra Pradesh,Srikakulam,Srikakulam SKY Trust,A.NO.502,83.89679042,18.28567883,"MIG No:2 (Upstairs)), APHB Colony, Opp to Zilla Parishad, Srikakulam, Andhra",Andhra Pradesh,A/N. A.V.V.B.N. Acharyulu,9177675494,-,-,achari261957@gmail.com,
Asia,India,Andhra Pradesh,Kotala ,Kotala SKY Trust,A.NO.505,79.28162818,13.5944283,"6-33, Kotala (Via & Post) 517 102, Chandragiri (Mandal), Chittoor Dist",Andhra Pradesh,A/N. S. Sudha,9704838606,8374836388,-,sreekantannair160@gmail.com,
Asia,India,New Delhi,New Delhi,Delhi NCR Simplified Kundalini Yoga Trust,A.NO.509,77.17800114,28.55870019,"Room No.103, First Floor, Grith Kalyan Kendra, Samraj Sadan, Sector - 4, R.K.Puram, New Delhi 110 022.",Delhi,A/N.M.Parameswaran,9871888230,-,-,skyyoga.delhi@gmail.com,
Asia,India,Andhra Pradesh,Eluru ,Eluru Vethathiri Maharishi SKY Trust,A.NO.510,81.1227439,16.71491637,"H.No: 1-207 B, Anoallamma Thota, Kodelu Road, Jayaprakash Nagar, Betesth Church Street, Eluru, West Godavari Dist. Andhra Pradesh, Pin 534001",Andhra Pradesh,A/N.P. Venkateswara Rao,6300409522,-,-,venkateswararao9858@gmail.com,an.a399@vethathiri.edu.in
Asia,India,Tamilnadu,Ariyalur,Jayankondam MVKM Trust,A.NO.2,79.3612652,11.2143483,"Iyyanar Koil Campus, Iyyanar Koil Street, Chidambaram Road, Jayankondam 621 802",Kumbakonam,A/N. S. Elangovan,9443953954,8778703597,-,jkmmvkmtrust@gmail.com,
Asia,India,Tamilnadu,Madurai,Madurai MVKM Trust,A.NO.4,78.13092741,9.941267351,"24, Besant Road, Chokkikulam, Madurai - 625 002.",Madurai,A/N. K.R.Ramalingam,9025639760,9087971797,0452-2526461,mduatk@gmail.com,
Asia,India,Tamilnadu,Thoothukudi,Kovilpatti MVKM Trust,A.NO.6,77.8732984,9.1804624,"7C-1, Arunachalampettai Street, Kovilpatti - 628 501, Thoothukudi Dist.",Virudhunagar,A/N.Dr.S.Tamilselvi,9965008212,9884012740,9443721864,stsece@nec.edu.in,
Asia,India,Tamilnadu,Chennai,Tambaram Sanatorium MVKM Trust,A.NO.7,80.13091298,12.946583,"N.No.254 (O.No207) Thambu Chetty St, Chennai - 600 001.",Kancheepuram,A/N. A.R. Viswanathan,9944365999,-,-,skysanatorium@gmail.com,
Asia,India,Tamilnadu,Dindigul,Dindigul MVKM Trust,A.NO.9,77.96824573,10.397014,"No.2/428, Vethathiri Nagar, Collectorate (PO ), Dindigul - 624004 ",Dindigul,A/N. M.K. Dhamodharan,9443047577,9442200970,0451 - 2460461,tctdgl95@gmail.com,
Asia,India,Tamilnadu,Dharapuram,Dharapuram MVKM Trust,A.NO.11,77.52149574,10.73386788,"77, Anna Nagar, Dharapuram - 638 656",Tiruppur,A/N.C.K.Chellamuthu,9842701655,-,04258-220110,vm163vethathiri@gmail.com,
Asia,India,Tamilnadu,Vellore ,Gudiyattam MVKM Trust,A.NO.12,78.3330157,12.7470314,"1/16, Amannag Kuppam Rice Mill, Pajanai Koil Street, Gudiyattam (R.S), Gudiyattam 635 803",Thiruvannamalai,A/N. A. Shanmugam,9442514580,9443635011,-,jayalakshminps@gmail.com,"wcscvellore@gmail.com, "
Asia,India,Tamilnadu,Kanyakumari,Nagercoil MVKM Trust,A.NO.16,77.4332177,8.1838932,"405/127, C.B.H.Road, Melakalumkady, Vadasery, Nagercoil - 629 001",Thirunelveli,A/N.S.Vallinayagam Pillai,9443556601,9488082082,04652-272350,nanjilskytrust@vethathiri.ac.in ,aspillai232@gmail.com 
Asia,India,Tamilnadu,Erode,Erode MVKM Trust,A.NO.18,77.7244626,11.33282," No.66, Periyar Nagar 9th Street, Erode - 638 001.",Erode,A/N.Vengatesh,9443361227,"9444930539, 9486184860","0424-2267391, ",er.a18@vethathiri.ac.in,
Asia,India,Tamilnadu,Sivagangai ,Sivagangai MVKM Trust,A.NO.20,78.4857024,9.8521106,"C/o.A/N.SP.Ramanathan, Secretary, Sriram Xerox & Computers, 361-G, Gandhi Road, Sivagangai - 630 561",Madurai,A/N.A.C. Shanmuganathan,9965899303,9787390430,-,sriramsivagangai@gmail.com,
Asia,India,Tamilnadu,Virudhunagar,Rajapalayam MVKM Trust,A.NO.21,77.55256806,9.44704666,"25/D5, Kuppusami Raja Street, Rajapalayam - 626117",Virudhunagar,A/S.P.D.Kasiwisvanatha Raja,9894013317,9942764629,8110902823,ponnssh@yahoo.com,
Asia,India,Tamilnadu,Madurai,Tirunagar MVKM Trust,A.NO.22,78.0523548,9.8845116,"C/o.A/N.Ram gopal, Secretary, No.C.45, Brindavan Street, Thirunagar, Madurai - 625006",Madurai,A/N. Thirunavukarasu,8883026349,9842150442,-,mnraghaven@gmail.com-,
Asia,India,Tamilnadu,Thirunelveli,Shencottah MVKM Trust,A.NO.23,77.29726183,9.036936003,"No.1/31, Murthi Vinayagarkoil Street, Neduvayal, Elathur Via 627 803, Shencottah Taluk, Nellai District.",Thirunelveli,A/N.N.Thiruvenkadam,8903487346,9442235526,-,ntvnathan@yahoo.com,muruganmska@gmail.com 
Asia,India,Tamilnadu,Vellore ,Vellore MVKM Trust,A.NO.24,79.13826788,12.94697263,"No.32, 6th West Cross Road, Gandhi Nagar, Vellore - 632006.",Thiruvannamalai,A/N.P.Parameswari,9865620781,9787736002,9042327122,velloremvkmtrust2016@gmail.com,
Asia,India,Tamilnadu,Chengalpattu,Guduvanchery MVKM Trust,A.NO.25,80.06071964,12.8448776,"No.103, G.S.T.Road, Guduvanchery - 603202.",Kancheepuram,A/N.R.Piramukutti,9444190005,-,"27465958, 27461892",piramukutty.gdvmvkm@gmail.com,
Asia,India,Tamilnadu,Thirunelveli,Sankarankoil MVKM Trust,A.NO.26,77.53696667,9.181150087,"Arivu Thirukoil, Ezhil Nagar East, 43/4, Thiruvudaiyan Salai 2nd Street, Sankarankoil 627 756.",Thirunelveli,A/N.R.Muthukirhsnan,9443544110,9442064055,9486915496,ramsonsnkl@gmail.com ,ikamaraj63@gmail.com 
Asia,India,Tamilnadu,Chennai,Mylapore MVKM Trust,A.NO.28,80.26996924,13.03227992,"No.12, South Mada Street, Mylapore, Chennai - 600004.",Chennai,A/N. M.P. Ponnuswamy,8939543914,9962542859,9345629440,vethathrimylai@gmail.com,
Asia,India,Tamilnadu,Ranipet,Arakkonam Jothi Nagar MVKM Trust,A.NO.29,79.66047692,13.10709268,"Arakkonam Jothi Nagar Arivu Thirukkoil, 53/2, Bharathi Street (Near Fire Station), Arakkonam Jothi Nagar, Arakkonam - 631 003.",Thiruvallur,A/N. A.S. GURUNATHAN,9894507389,9894428831,04177-23778. 8778721570,ajjmvkma29@gmail.com,"gurunathanas@gmail.com,pkumaran3297@gmail.com"
Asia,India,Tamilnadu,Vellore ,Sathuvachary MVKM Trust,A.NO.30,79.19203764,12.94221106,"No.22, Kurinchi Nagar, Sathuvachari, Vellore - 632009.",Thiruvannamalai,"A/N. A. Venkatesan, ",9790099369,9790099366,-,mtsdiva83@gmail.com,
Asia,India,Tamilnadu,Chennai,Chennai KK.Nagar MVKM Trust,A.NO.31,80.20089991,13.03958062,"No.16/491, 24th St, 5th Sector, K.K.Nagar, Chennai - 600078.",Chennai,"A/N.S.Arumugam,",7550289400,-,044-23664094,ramakrish_mir@yahoo.in,
Asia,India,Tamilnadu,Chennai,Rangarajapuram MVKM Trust,A.NO.32,80.2227289,13.0475137,"129/54, Rangarajapuram Main Road, Kodambakkam, Chennai 600 024.",Chennai,A/N.S.Nagarajan,9445005362,9443244320,9382615060,jayaraman1948@yahoo.com,
Asia,India,Tamilnadu,Coimbatore,Kovai MVKM Trust,A.NO.34,76.96467847,11.01863765,"121, ""MAY FLOWER"" Complex II Floor, 10th Street, Gandhipuram, Coimbatore - 641 012.",Coimbatore,A/N.A.Arumugam,9486355577,9443521711,0422-2494242. 9500556532,kovaitrustsky@gmail.com; ,
Asia,India,Tamilnadu,Thirunelveli,Nellai MVKM Trust,A.NO.38,77.75364734,8.696403447,"9th North Street, 70, P.A. Pillai Nagar, Thiyagaraja Nagar, Tirunelveli - 627 011.",Thirunelveli,A/N.A.Nagarajan,9442178858,9486272458,9442545781,nellaimanavalakalai@gmail.com ,deiva781@gmail.com 
Asia,India,Tamilnadu,Virudhunagar,Aruppukottai MVKM Trust,A.NO.39,78.09062876,9.50711351,"Sappai Ramasamy Street, South Street, Aruppukottai 626 101.",Virudhunagar,A/N.R.Jothimani,9486569340,6383657013,-,rjothimani36@gmail.com,
Asia,India,Tamilnadu,Chennai,Chrompet MVKM Trust,A.NO.41,80.14029734,12.9451395,"No.23/11, Hasthinapuram Main Rd, Nehru Nagar, Chrompet, Chennai-600 044.",Kancheepuram,A/N.G.Arunachalam,6369846402,9841408046,22233991,chromepetmvkmtrusta41@gmail.com,garuna1945@gmail.com
Asia,India,Tamilnadu,Salem,Salem Ammapet MVKM Trust,A.NO.44,78.17625135,11.64836833,"No.46.E, Vethathiri Maharishi Nagar, New Street Extn, Ammapettai, Salem - 636003.",Salem,A/N.A.Vivekanandhan,9443241482,9442842043,2244244,sa.a44@vethathiri.ac.in,
Asia,India,Tamilnadu,Salem,Puthuchampalli MVKM Trust,A.NO.45,77.8225923,11.805204,"C/o.A/N.M.Pachaiyannan, MIC, No.38-151 EID, V.O.C Nagar, Mettur Dam RS - 636402.",Salem,A/N.N.Saraswathy Nanchappan,9486931050,9790709588,04298 - 222283,sa.a45@vethathiri.ac.in,
Asia,India,Tamilnadu,Coimbatore,North Kovai MVKM Trust,A.NO.46,76.95460497,11.01559855,"Kandasamy & Co., Campus, No.266, Mettupalayam Road, Coimbatore - 641 043.",Coimbatore,A/N. Senthamarai Jayakumar,9486355107,9443756252,"9442526880, 9488875970",northkovaiwisetrust@gmail.com,
Asia,India,Tamilnadu,Cuddalore,"Viruthachalam MVKM Trust,",A.NO.48,79.24211994,11.40276443,"Pazhampathai Street, Pennadam Post, Titakudi T.K., Cuddalore Dist 606 105.",Viluppuram,A/N.T.Mayilvaganan,9442520287,7598173314,-,tmv24452@gmail.com,shankaran33@gmail.com
Asia,India,Tamilnadu,Coimbatore,Periya Naicken Palayam MVKM,A.NO.49,76.91788881,11.15564547,"No.57, Arivuthirukoil Veedhi, Ananda Nagar, S.R.V.K.(Po), Coimbatore - 641 020.",Coimbatore,A/N.Dr.V.Ponnuswamy,9080485959,9442187901,"0422 - 2694152, 8220496778, 9442575805",pnpalayam2017@gmail.com,pn_palayam@yahoo.com
Asia,India,Tamilnadu,Dindigul,Palani MVKM Trust,A.NO.51,77.5161356,10.4500374," No,26 Melarathai Veedhi,Palani.624601",Dindigul,Prof.A.Muthukrishnan,9443148246,9443055117,04545 - 245600,tct.palani01@gmail.com,
Asia,India,Tamilnadu,Virudhunagar,Srivilliputhur MVKM Trust,A.NO.55,77.6299182,9.507948,"50, P.P. Mela Mada St, Srivilliputhur - 626125.",Virudhunagar,A/N.SR.Sarvajit ,9842960950,9976892235,-,srivilliputhurmvkm@gmail.com,
